assumption,base_value,sensitivity_value,metric,base_ecl,new_ecl,absolute_change,percentage_change,management_interpretation,materiality_rank,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
Future EAD,Constant,Linear run-off,Probability-weighted ECL,118650358.4389918,71687379.35216391,-46962979.086827874,-0.3958098374475246,Simplified repayment sensitivity; not observed cash-flow behaviour,1,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
LGD absolute shift,0pp,+10%p,Probability-weighted ECL,118650358.4389918,147811930.24898538,29161571.809993595,0.2457773595769459,Recovery severity sensitivity; not a calibrated downturn LGD,2,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
PD scale,1.00x,1.25x,Probability-weighted ECL,118650358.4389918,143912296.5746321,25261938.135640323,0.2129107612315357,Material portfolio-wide PD shock,3,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
Watchlist staging threshold,20% origination PD proxy,10% origination PD proxy,Probability-weighted ECL,118650358.4389918,139763038.7923113,21112680.35331953,0.1779402998110228,Extreme proxy sensitivity demonstrating stage-allocation materiality,4,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
LGD absolute shift,0pp,+5%p,Probability-weighted ECL,118650358.4389918,133231144.34398858,14580785.904996796,0.1228886797884729,Recovery severity sensitivity; not a calibrated downturn LGD,5,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
LGD absolute shift,0pp,-5%p,Probability-weighted ECL,118650358.4389918,104069572.533995,-14580785.904996796,-0.1228886797884729,Recovery severity sensitivity; not a calibrated downturn LGD,5,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
EAD scale,1.00x,1.10x,Probability-weighted ECL,118650358.4389918,130515394.28289096,11865035.843899176,0.0999999999999998,Exposure growth or slower principal reduction,6,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
Watchlist staging threshold,20% origination PD proxy,15% origination PD proxy,Probability-weighted ECL,118650358.4389918,129010915.49782676,10360557.058834985,0.0873200654017596,Broadens Stage 2 proxy; not a genuine longitudinal SICR assessment,7,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
PD scale,1.00x,1.10x,Probability-weighted ECL,118650358.4389918,128939672.03159384,10289313.592602044,0.0867196165942696,Moderate deterioration in default risk,8,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
Downside scenario weight,25%,40% (base reduced to 45%),Probability-weighted ECL,118650358.4389918,127419967.14117764,8769608.70218587,0.0739113544835607,Greater probability assigned to downside conditions,9,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
Manual Stage 2 override,0%,Top 5% of Stage 1 by PD,Probability-weighted ECL,118650358.4389918,120449837.54926808,1799479.1102762818,0.0151662340843372,Illustrates governance overlay and review workload,10,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
EIR proxy,Observed rate,-2pp,Probability-weighted ECL,118650358.4389918,120347136.91225491,1696778.4732631296,0.0143006603232098,Lower discount rate increases present value,11,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
EIR proxy,Observed rate,+2pp,Probability-weighted ECL,118650358.4389918,117021079.54676864,-1629278.8922231495,-0.0137317654464642,Higher discount rate reduces present value; shown as measurement sensitivity,12,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
Relative SICR multiplier,3x,2x,Probability-weighted ECL,118650358.4389918,118650358.4389918,0.0,0.0,No primary-layer impact because relative SICR eligibility is 0%; control test only,13,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
Severe PD multiplier,2.0x,2.5x,Severe ECL,273951009.5428664,326118512.78597873,52167503.243112326,0.1904263953258016,Tail stress severity,1,Observed,Proxy,P4,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Controlled ECL assumption sensitivities,2018-12
